Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Time_Ratio,Range_1,A_CV,Range_2,A_Skewness,Range_1_2
XIAOMI-10MI1,10.380878925323486,0.0464158058166503,-0.37278228084774,1,1.5612516315770455,3,2.254060517787872,0
XIAOMI-10MI1,1.1960909366607666,0.0499341487884521,-0.6076996165948072,1,1.3582113843928925,2,1.6057700796433707,0
XIAOMI-10MI1,10.256462097167969,0.0650150775909423,-0.4131972584554789,1,1.6009748832081838,3,1.6698643195859904,0
XIAOMI-10MI1,11.006742000579834,0.0472548007965087,-0.5031407510557471,1,1.0986955103080265,1,1.2336904059149965,0
XIAOMI-10MI1,11.12203884124756,0.0558969974517822,-0.3377792185080758,1,1.452563838495756,2,2.0568976725288866,0
XIAOMI-10MI1,10.27004599571228,0.0455000400543212,-0.6999753721684552,1,1.1048113642561443,3,1.3833938860370207,0
XIAOMI-10MI1,11.121535062789915,0.0453300476074218,-0.6423146511823621,1,1.1450646519978365,3,1.0820513359010735,0
XIAOMI-10MI1,11.134507179260254,0.0491430759429931,-0.532832656546398,1,1.414950849590797,3,1.6948097951499077,0
XIAOMI-10MI1,10.257505178451538,0.0538389682769775,-0.4912606225394896,1,1.3700034111630732,3,1.761652804536442,0
XIAOMI-13,1.6213979721069336,0.08604097366333,-0.6044912187363181,2,1.4419996084750304,5,1.533749170593709,1
XIAOMI-13,10.869194984436035,0.0730738639831543,-0.511425998551358,2,1.468959566255621,6,1.74839889704455,1
XIAOMI-13,10.936070919036863,0.0709681510925293,-0.3280499358332595,2,1.6915760328394989,5,2.635727673173017,1
XIAOMI-13,10.209616899490356,0.0794219970703125,-0.5808717579250715,2,1.1390154324163846,6,0.6566195057533901,1
XIAOMI-13,11.212857007980348,0.0619339942932128,-0.6242445240020015,2,1.1054449617496314,5,0.7824681670518084,1
XIAOMI-13,10.876528978347778,0.0875191688537597,-0.5055246511678588,2,1.2181052637593826,5,1.7279278699778722,1
XIAOMI-13,10.954497814178469,0.0867719650268554,-0.625605855781595,2,0.9093039122182648,6,0.6745047241837496,1
XIAOMI-13,11.0729398727417,0.074779987335205,-0.5967352144109677,1,1.2892438271330398,4,1.049879714191931,1
XIAOMI-13,10.875661134719849,0.0892601013183593,-0.4475805589982479,2,1.3177306369205248,6,1.7854847612816336,1
XIAOMI-13,10.95066213607788,0.0724351406097412,-0.3843589026216604,2,1.5219343449306078,6,2.323462150897184,1
XIAOMI-13,11.229995012283323,0.0773971080780029,-0.6702985272327923,2,1.1636130594791725,6,1.0080151792339545,1
XIAOMI-13,11.043987035751345,0.0885810852050781,-0.5631325093665217,2,1.0916873470562296,6,1.1542834806274125,1
XIAOMI-MI11Lite,12.372322082519531,0.0648720264434814,-0.3195231042327434,1,1.7938974988611247,3,2.52600068902335,0
XIAOMI-MI11Lite,12.404720067977903,0.0784780979156494,-0.2833142443971186,1,1.92191007731985,3,2.5006006343919327,0
XIAOMI-MI11Lite,12.36861801147461,0.0617220401763916,-0.3247940173284237,1,1.5247558550022358,3,2.2107342254085705,0
XIAOMI-MI11Lite,11.900486946105955,0.0588181018829345,-0.3397594659121764,1,1.768017059144128,3,2.472203954457124,0
XIAOMI-MI11Lite,12.37362790107727,0.0618259906768798,-0.3164042465399496,1,1.593263396645051,3,2.371731909461504,0
XIAOMI-MI11Lite,12.377620935440063,0.0762951374053955,-0.3465227105826464,1,1.797749590531723,3,2.438256797448897,0
XIAOMI-MI11Lite,12.421606063842772,0.0534651279449462,-0.5419600533335702,2,1.3406058264298633,4,1.1871597464655972,1
XIAOMI-MI11Lite,12.428783893585203,0.0758380889892578,-0.3874430975076072,1,1.7042178300566235,3,2.101469802227374,0
XIAOMI-MI11Lite,12.382736921310425,0.0651998519897461,-0.2770561820761466,1,1.7893502508131354,3,2.240801699629099,0
XIAOMI-MI11Lite,12.531246900558472,0.0657649040222168,-0.4521567006721324,1,1.4801575331865695,3,1.7636689105211316,0
XIAOMI-MI11Lite,12.391906976699827,0.0833709239959716,-0.3043985552629096,1,1.9145212428080467,3,2.418246795603185,0
XIAOMI-MI11Lite,12.282030820846558,0.0680170059204101,-0.4336100166851269,1,1.3515474886145462,3,1.834640146382808,0
