Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
IQOO-Z9X,10.61042094230652,0.0354599952697753,0.0354599952697753,0.0020151138305663,0.0,0.0042159557342529,0.005375862121582,0.0042140483856201,3.838539123509938e-06,0.3402407046325545,0.0327102803738318,0.0568278087810125,0.0120649337768554,0.0122654318809509,0.0053744392758143,0
IQOO-Z9X,10.616186141967772,0.0388641357421875,0.0388641357421875,0.0010769367218018,0.0102090835571289,0.0020689964294433,0.003890037536621,0.0020639896392822,0.0007906436920165,0.2974209854731068,0.0468565959952876,0.0277102964271703,0.011559009552002,0.0127852439880371,0.0052810618697462,0
IQOO-Z9X,10.73216700553894,0.0327911376953125,0.0327911376953125,1.001358032220014e-05,0.0103499889373779,0.0021800994873046,0.0037810802459716,0.0021791458129882,9.059906005863453e-06,0.2170413564448598,0.0488235807352259,0.0003053745928318,0.0071170330047608,0.0105087518692016,0.0043752056511693,0
IQOO-Z9X,1.7541389465332031,0.0285050868988037,0.0285050868988037,1.0013580322299886e-05,0.009671926498413,0.0021688938140869,0.003587007522583,0.0021679401397705,9.05990600579996e-06,0.2202427253489929,0.0497494960647046,0.0003512909944056,0.0062780380249023,0.0093200206756591,0.0037591979110938,0
VIVO-X60_1,9.355204105377195,0.1034600734710693,0.1034600734710693,0.0728640556335449,0.0879859924316406,0.0751731395721435,0.0797889232635498,0.0751540660858154,1.921653747557761e-05,0.0582357590743486,0.0444228850332876,0.7042722200842048,0.0060250759124756,0.0348150253295897,0.0197452467102893,0
VIVO-X60_1,9.379739999771118,0.0841410160064697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IQOO-Z9X,10.609235048294067,0.0227210521697998,0.0227210521697998,5.960464477599995e-06,0.0100610256195068,0.0016820430755615,0.0039520263671875,0.0016810894012451,6.175041198785308e-06,0.2662357422428383,0.0999066097230831,0.0002623322385361,0.0060491561889649,0.0063348412513732,0.0022889433054937,0
VIVO-X60_1,9.341202974319458,0.1015288829803466,0.1015288829803466,-0.0011460781097412,0.0844430923461914,0.0,0.0770900249481201,0.0,2.9659271240236328e-05,0.0,0.7592915698978266,-0.0112881977630252,0.0,0.0582864999771117,0.027813756814177,0
HONOR-70_1,0.0,0.0354421138763427,0.0354421138763427,0.0010600090026855,0.0123500823974609,0.0022799968719482,0.0057859420776367,0.0022721290588378,7.581710815470106e-06,0.3603915105445498,0.0989203188591041,0.0299081766506327,0.012773036956787,0.0086293101310729,0.0032483643078299,0
VIVO-X60_1,9.28195095062256,0.1058568954467773,0.1058568954467773,0.0741510391235352,0.0882790088653564,0.0767819881439209,0.0814449787139892,0.0767819881439209,0.0029327869415282,0.0643969765493385,0.0440499463959129,0.7004837881422362,0.0068168640136719,0.0551340341567992,0.0261792513979888,0
XIAOMI-10MI1,11.12203884124756,0.0558969974517822,0.0558969974517822,0.0038561820983887,0.0147850513458251,0.0048890113830566,0.0081548690795898,0.0048580169677734,3.056526184081754e-05,0.6622207814919242,0.0584263528528592,0.0689872850811909,0.0370161533355713,0.0206338882446288,0.0090215507976609,0
